Tray #,well number,sample type,sample ID,tin weight,total weight,sample weight,% Carbon,% Nitrogen, δC13,δ N15,C:N,ques
Tray 1 Juanes Hagfish 2019,D1,standard,dogfish liver,NA,NA,0.962,48.37,9.03,-17.75,14.8,5.36,FALSE
Tray 1 Juanes Hagfish 2019,D2,liver,LE-LIV-34,18.695,19.742,1.047,47.5,13.3,-17.98,15.76,3.57,FALSE
Tray 1 Juanes Hagfish 2019,D3,liver,LE-LIV-35,18.677,19.774,1.097,45.3,13.48,-16.99,16.49,3.36,FALSE
Tray 1 Juanes Hagfish 2019,D4,liver,LE-LIV-36,18.313,19.32,1.007,46.03,13.42,-16.34,17.19,3.43,FALSE
Tray 1 Juanes Hagfish 2019,D5,liver,LE-LIV-37,18.308,19.329,1.021,46.34,13.14,-16.92,16.88,3.53,FALSE
Tray 1 Juanes Hagfish 2019,D6,liver,LE-LIV-38,18.707,19.802,1.095,44.5,12.72,-16.02,17.7,3.5,FALSE
Tray 1 Juanes Hagfish 2019,D7,liver,LE-LIV-39,18.864,19.939,1.075,44.57,12.9,-16.11,17.11,3.45,FALSE
Tray 1 Juanes Hagfish 2019,D8,liver,LE-LIV-40,18.644,19.728,1.084,46.08,13.35,-16.9,16.43,3.45,FALSE
Tray 1 Juanes Hagfish 2019,D9,liver,LE-LIV-41,18.817,19.894,1.077,42.48,12.57,-16.58,16.22,3.38,FALSE
Tray 1 Juanes Hagfish 2019,D10,liver,LE-LIV-42,18.562,19.647,1.085,44.28,13.32,-15.94,17.7,3.33,FALSE
Tray 1 Juanes Hagfish 2019,D11,liver,LE-LIV-43,18.874,19.876,1.002,45.3,13.16,-15.9,16.66,3.44,FALSE
Tray 1 Juanes Hagfish 2019,D12,liver,LE-LIV-44,18.776,19.815,1.039,45.66,13.35,-17.32,16.35,3.42,FALSE
Tray 1 Juanes Hagfish 2019,E1,standard,dogfish liver,NA,NA,1.054,48.22,8.83,-17.74,14.75,5.46,FALSE
Tray 1 Juanes Hagfish 2019,E2,liver,LE-LIV-45,18.725,19.745,1.02,47.29,13.03,-17.52,17.05,3.63,FALSE
Tray 1 Juanes Hagfish 2019,E3,liver,LE-LIV-46,18.282,19.342,1.06,46.04,13.24,-16.1,17.19,3.48,FALSE
Tray 1 Juanes Hagfish 2019,E4,liver,LE-LIV-47,18.448,19.498,1.05,45.21,12.69,-16.51,17.22,3.56,FALSE
Tray 1 Juanes Hagfish 2019,E5,liver,LE-LIV-48,18.98,20.037,1.057,46.75,13.52,-16.26,17.45,3.46,FALSE
Tray 1 Juanes Hagfish 2019,E6,liver,LE-LIV-49,18.362,19.418,1.056,45.38,13.04,-17.68,15.03,3.48,FALSE
Tray 1 Juanes Hagfish 2019,E7,liver,LE-LIV-50,18.255,19.352,1.097,45.1,13.09,-15.66,18.13,3.45,FALSE
